supplier_name,product_name,unit_pack_info
KETEPA TEA PACKERS LTD,Fahari Ginger 250g x 40,250gx40
Mzuri Sweets Limited,King Cake Vanilla 12gm x 50 Pcs,12x50
Pwani Oil LTD,Fresh Fri 1ltr x 12,1Lx12
