order_no,order_date,sales_rep,customer_name,customer_location,product,qty,price_per_ctn,amount,comments
SP360-202508-0002,2025-08-15,moses,bahati shop,likoni,Fahari Ginger 20x250g,10.0,2000.0,20000.0,7 days pd cheque
SP360-202508-0001,2025-08-15,Admin,hassan w/salers,bondeni,Panadol Extra 20's x 72,1.0,20000.0,20000.0,cash
