supplier_name,product_name,unit_pack_info
,Kisskids Diaper H/S 6X48 No2,
,Milkpower Choco 72pktX5pc,
,Club Soda Passion 350mlX12,
,Club Soda Mango 350ml x 12 V,
,Kericho Gold Teabag 100's x 12pkts,
,Highlands Pineapple 5ltr * 4 V,
,Highlands Orange 2lt X 6 V,
,Highlands Pineapple 2ltX6 V,
,Club Soda Cola 350mlX12 V,
,Highlands Orange 5ltr * 4 V,
,Baraka Chai Tangawizi 20x15pktx15gm,
,Highlands Pineapple 3litrx6 V,
,Club Soda Tangawizi 350mlX12 V,
,Club Soda Papple 350mlX12 V,
,Highlands Orange 3litrx6 V,
,Club Soda Bcurrent 350mlX2 V,
,Club Soda Lemon 350mlX12 V,
,Milkpower 72 X4 V,
,Club Soda Orange 350mlX12 V,
Bhumi Distributors,,
,Virani Curry Powder 500gX30,
,Virani Mixed Herbs 100gX6,
,Virani Oregano 20gX6,
,Virani Rosemary 20gX6,
,Virani Tumeric Ground 100gX6,
,Virani Black Pepper Ground 100gX6,
,Virani Pilau Masala 100gX6,
,Pipi Maziwa 20 x 80pcs,
,Virani Curry Powder 10gx24x12,
Hayat K K Ltd,,
,Molfix Size 2 Mini Jumbo P.80sx3 V,
,Molfix Size 2 Mini S.Pack 15sx10 V,
,Molfix Size 2 S 10X12,
,Molfix Size 3 M 9X12,
,Molfix Size 3 Midi Jumbo. P 72sx3 V,
,Molfix Size 3 Pants J.Pack 62sx3 V,
,Molfix Size 4 L 8X12,
,Molfix Size 4 Maxi Jumbo P.64sx3 V,
,Molfix Size 4 Maxi S. Pack 11sx10 V,
,Molfix Size 4 Maxi Twin P.40sx4 V,
,Molfix Size 4 Pants J.Pack 56sx3 V,
,Molfix Size 4 Pants T.Pack 28sx4 V,
,Molfix Size 5 Jnr Jumbo P.56sx3 V,
,Molfix Size 5 Jnr S.Pack 10sx10 V,
,Molfix Size 5 Jnr Twin P.36sx4 V,
,Molfix Size 5 Pants J.Pack 52sx3 V,
,Molfix Size 5 Pants S.Pack 8sx8 V,
,Molfix Size 5 Pants T.Pack 26x4 V,
,Molfix Size 5 XL 7X12,
,Molfix Size 6 Pants J.Pack 44x3 V,
,Molfix Size 6 Pants S.Pack 7X8 V,
,Molfix Size 6 Pants T.Pack 22x4 V,
,Molfix Size 7 Pants J.Pack 36sx3 V,
,Promotion Claim,
,Service Offered,
,Molfix Size 4 Pants S.Pack 8sx8 V,
,Molfix Size 3 Midi Twin. P 42sx4 V,
,Molfix Size 3 Midi S.Pack 12sx10 V,
,Molfix Size 3 Pants S.Pack 9sx8 V,
,Molfix Size 2 Mini Twin P. 48sx4 V,
,Molfix Size 3 Pants T.Pack 31sx4 V,
Salim Ahmed Alamudi Msa,,
,Spago Penne Rigate 500gX20 V,
,Karibu Chai 250gX40,
,Spago Elbow 500gX20 V,
Latest International Investment,,
,Latest Hand Sanitizer 250ml,
,Latest Hand Sanitizer 500ml,
,Latest Hand Sanitizer 5l,
